IT ecosystem;category;would_you_like_to_question;would_you_x;must_should_nice_to_have;improvability_indicator
some company;architecture;keep component dependencies minimized;1;2;1
some company;architecture;have team dependencies minimized;1;2;1
some company;architecture;be scalable;0;;
some company;development teams;have teams aligned;1;3;0
some company;development teams;have autonomic teams;1;3;2
some company;development teams;keep cognitive load in check;1;3;2
some company;development teams;work with the four key metrics;1;3;2
some company;development teams;keep retrospectives;1;2;2
some company;development teams;keep root cause analyses;1;2;2
some company;functionality;design proper domain models;1;3;1
some company;functionality;have a good product owner;1;3;1
some company;functionality;use A/B testing and experimenting;0;;
some company;functionality;consider UX regularly;0;;
some company;legality;comply with GDPR;1;3;0
some company;legality;have all licenses;1;3;0
some company;legality;have SLA's;0;;
some company;maintenance;check failed logins regularly;1;1;2
some company;maintenance;have your infrastructure scripted;1;3;2
some company;maintenance;software deployment automated (CI/CD);1;3;1
some company;maintenance;have your data backuped;1;3;0
some company;maintenance;be up to date with your 3rd party vendors;1;2;2
some company;maintenance;be aware of your code hotspots;1;1;2
some company;maintenance;be aware of your testcoverage;1;1;1
some company;maintenance;be aware of duplications;1;1;2
some company;maintenance;have alerting;1;3;1
some company;maintenance;catastrof recovery testing;1;2;2
some company;observability;track business metrics;1;3;2
some company;observability;track application metrics;1;3;1
some company;observability;track system metrics;1;3;0
some company;observability;have easy and centralized log file access;1;2;0
some company;observability;keep code metrics;0;;
some company;observability;keep source control metrics;0;;
some company;organisation context;work on technical debt;1;2;1
some company;organisation context;have an accurate datawarehouse;1;3;1
some company;organisation context;have sufficient budget;1;2;1
some company;organisation context;have a clear shared vision;1;3;2
some company;organisation context;use story telling;1;1;2
some company;organisation context;have access to end users;1;2;2
some company;quality;have automated testing;1;3;2
some company;quality;keep code reviews;1;2;0
some company;quality;apply automatisation as a principle;1;2;1
some company;quality;have coding standards;1;1;1
some company;quality;have unit tests;1;3;1
some company;quality;have regression tests;1;3;1
some company;quality;have integration tests;1;3;1
some company;quality;have acceptance tests;1;3;1
some company;quality;write idem potent code;1;2;0
some company;quality;use automatic retry mechanisms;1;2;0
some company;quality;use ADR's;1;2;2
some company;security;apply encryption;1;3;0
some company;security;have access regulation;1;2;1
some company;security;check owasp dependencies regularly;1;2;2
